axis,n_traits,total_compared,macro_agreement_rate,macro_cohen_kappa
model_vs_carmen,19,1870,0.684,0.132
model_vs_roni,19,1672,0.678,0.104
roni_vs_carmen,20,1774,0.790,0.447
