trait,condition,model,axis,agreement_rate,cohen_kappa,n_compared,n_species,ceiling_kappa,roni_majority_frac,roni_distribution,trait_verdict
stipules,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.7273,0.2979,11,11,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,1.0000,,99,99,0.0000,1.0000,absent:100,undecidable
venation,K2_gpt-5.1_per-trait,gpt-5.1,model_vs_roni,0.9630,0.3229,108,108,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.8000,0.6154,5,5,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.4821,0.0240,112,112,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.6330,0.0731,109,109,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.8142,0.2927,113,113,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.8018,0.3577,111,111,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.3375,0.0472,80,80,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.6237,0.3775,93,93,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.5049,0.0805,103,103,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.9425,0.4177,87,87,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.7143,-0.1667,7,7,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.8636,0.0000,66,66,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.7757,0.1858,107,107,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.5526,0.0000,38,38,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.7538,0.0000,65,65,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.8214,0.0939,56,56,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.7234,0.0000,94,94,0.0000,1.0000,woody:109,undecidable
stipules,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.7778,0.0000,9,9,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.9899,0.0000,99,99,0.0000,1.0000,absent:100,undecidable
venation,K3_gpt-5.1_per-section,gpt-5.1,model_vs_roni,0.9439,-0.0078,107,107,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
